jasc_code,title,ata_chapter,ata_chapter_title,definition,system_level,wiring_code,single_engine_piston,multi_engine_piston,turboprop,business_jet_transport_jet,rotorcraft,notes,source,source_last_updated,source_url
1100,Placards and Markings,11,Placards and Markings,"For reports on all placards, decals, and markings installed by the manufacturer including those required by government regulations. The report should include the system or component involved. The aircraft make and model is required. The location of the item is essential for a meaningful report. Such information should be extracted from the text and entered in the proper data fields (Example: Item = placard; location = entrance door; part condition = missing. Text= the ""closed and locked"" decal is missing from the main passenger entrance door).",1,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
1210,Fuel Servicing,12,Servicing,For reports indicating a problem relating to any type of aviation fuel. The general instructions are not applicable to any particular system.,0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
1220,Oil Servicing,12,Servicing,For reports indicating a problem relating to aviation lubricating oil. The general instructions are not applicable to any particular system.,0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
1230,Hydraulic Fluid Servicing,12,Servicing,For reports which indicate a problem with any type of hydraulic fluid. The general instructions are not applicable to any particular system.,0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
1240,Coolant Servicing,12,Servicing,For reports indicating a problem with any type of engine coolant used in aircraft. The general instructions are not applicable to any particular system.,0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
1400,Miscellaneous Hardware,14,Hardware,For miscellaneous parts that are not associated with an installed aircraft component or system. Use this code when there is insufficient information to file in a more specific JASC 1400 series code.,1,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
1410,Hoses and Tubes,14,Hardware,For reports indicating a problem with any aircraft or engine hose or that are not associated a specific aircraft system.,0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
1420,Electrical Connectors,14,Hardware,For reports indicating a problem with any aircraft or engine electrical connector that is not associated a specific aircraft system.,0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
1430,Fasteners,14,Hardware,"For reports indicating a problem with any aircraft or engine fastener that is not associated a specific aircraft system. Typical parts are generic AN bolts, nuts, rivets, etc.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
1497,Miscellaneous Wiring,14,Hardware,For reports indicating a problem with any aircraft or engine wiring that is not associated a specific aircraft system.,0,1,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
